Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,10uF,C1713
"C10, C10(P49)1, C11, C12(P33)1, C13(P23)1, C15(P50)1, C3, C4, C5, C6(P10)1, C7(P1)1, C8, C8(P22)1, C9, C9(P42)1",0402,15,100nF,C1525
"C10_TD1, C10_TDV1, C11_TD1, C11_TDV1",0402,4,470pF,C701296
"C11(P43n44)1, C12_TD1, C12_TDV1, C14(P45)1, C17, C18, C25, C26, C2_PR1, C2_PRH1, C3_LA1, C7_TD1, C7_TDV1, C8_TD1, C8_TDV1, C9_TD1, C9_TDV1",0402,17,1uF,C14445
C12,0603,1,3pF,C46219
"C13, C14, C21, C22",0402,4,1pF,C1550
"C15, C16, C23, C24, C3_PRH1",0402,5,1nF,C106205
"C19, C1_MIC1, C1_MIC2, C20, C27, C28",0402,6,10uF,C315248
"C1_1_10_5B1, C1_1_10_5B2, C5_1_10_5B1, C5_1_10_5B2",0603,4,218.6pF,C106210
"C1_HA1, C2_HA1, C3_HA1",0402,3,C,C315248
C1_HP1,0603,1,56pF,C107053
"C1_HP2, C1_LP1, C3_HP2, C3_LP1",0603,4,3.6nF,C2961267
"C1_LA1, C2_LA1",0402,2,27pF,C1557
"C1_PR1, C1_PRH1",0402,2,3.3pF,C1565
"C1_TD1, C1_TDV1, C2_TD1, C2_TDV1, C3_TD1, C3_TDV1, C4_TD1, C4_TDV1",0402,8,220nF,C295939
"C1_VARB1, C2_VARB1",0603,2,10uF,C194427
"C2_1_10_5B1, C2_1_10_5B2, C4_1_10_5B1, C4_1_10_5B2",0603,4,1.771nF,C318642
C2_HP1,0603,1,33pF,C91368
C2_HP2,0603,1,2nF,C1870141
C2_LP1,0805,1,6.2nF,C3037648
"C3_1_10_5B1, C3_1_10_5B2",0603,2,707.4pF,C327426
C3_HP1,0603,1,56nF,C107053
"C6, C7",0402,2,35pF,C415391
D1_LAS1,OPTO-TH_GH05035A2G,1,GH05035A2G,C473922
D1_LAS2,LED-TH_3P-BD5.6-P1.00,1,GH04580A2GX,C473921
D1_LEDS1,0603,1,Red,C965799
D1_LEDS2,0603,1,Purple,C7371898
D1_VARB1,0402,1,D_Schottky,C2837790
D2_LEDS1,0603,1,Green,C965805
D3_LEDS1,0603,1,Blue,C965807
D4_LEDS1,0603,1,White,C965808
"FB1, FB10, FB12, FB13, FB14, FB15, FB2, FB3, FB4, FB5, FB6, FB7, FB8, FB9",0805,14,FerriteBead,C85840
"H1, H2, H3, H4",MountingHole_2.5mm_Pad,4,MountingHole_Pad,
"J1, J1_DM2, J1_VARB1, JN1_FET1, JN1_FET2, JP1_FET1, JP1_FET2",PinHeader_1x03_P2.54mm_Vertical,7,Conn_01x03_Pin,C429954
"J10, J11, J15, J16, J19, J1_LA1, J1_MIC1, J1_MIC2, J1_PR1, J1_PRH1, J1_SS1, J1_SS2, J1_SS3",PinHeader_1x02_P2.54mm_Vertical,13,Conn_01x02_Pin,C358684
"J12, J13",AUDIO-SMD_PJ-320B,2,PJ-320B,C18594
J14,PinHeader_2x07_P2.54mm_Vertical,1,Conn_02x07_Odd_Even,C71397
J17,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,C492422
"J18, J1_CCV1, J1_DM1, J2",PinHeader_1x04_P2.54mm_Vertical,4,Conn_01x04_Pin,C2691448
"J1_3S1, J1_3S2, J1_3S3, J1_3S4",PinHeader_1x03_P2.54mm_Vertical,4,Conn_01x03_Pin,C2937625
"J1_HP1, J1_HP2, J1_LAS1, J1_LAS2, J1_LEDS1, J1_LEDS2, J1_LP1, J2_DM1, J2_DM2, J2_HP1, J2_HP2, J2_LEDS1, J2_LP1, J2_MIC1, J2_MIC2, J3_DM1, J3_DM2, J3_LEDS1, J4_LEDS1, J5_DM1, J5_DM2, J6_DM1, J6_DM2, J7_DM1, J7_DM2, J8_DM1, J8_DM2, J9_DM1, J9_DM2, JI1_LA1, JI2_LA1, JO1_LA1, JO1_PR1, JO1_PRH1, JO2_LA1, U10, U100, U101, U102, U103, U104, U105, U106, U107, U108, U109, U11, U110, U111, U112, U113, U114, U115, U116, U117, U118, U119, U12, U120, U121, U122, U123, U124, U125, U126, U127, U128, U129, U13, U130, U131, U132, U133, U134, U14, U15, U16, U17, U18, U19, U1_JU1, U1_JU2, U1_JU3, U1_JU4, U2, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U2_JU1, U2_JU2, U2_JU3, U2_JU4, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U3_JU1, U3_JU2, U3_JU3, U3_JU4, U40, U41, U42, U43, U44, U45, U47, U48, U49, U4_JU1, U4_JU2, U4_JU3, U4_JU4, U50, U51, U52, U53, U54, U55, U56, U57, U58, U59, U6, U60, U61, U62, U63, U64, U65, U66, U67, U68, U69, U7, U70, U72, U74, U77, U78, U79, U8, U81, U82, U83, U84, U85, U86, U87, U88, U89, U9, U90, U91, U92, U93, U94, U95, U96, U97, U98, U99",IPEX-SMD_BWIPX-1-001E,175,BWU.FL-IPEX1,C5137195
"J3, J4, J4_DM1, J5",PinHeader_1x05_P2.54mm_Vertical,4,Conn_01x05_Pin,C6332198
"J6, J7, J8, J9",PinHeader_2x04_P2.54mm_Vertical,4,Conn_02x04_Counter_Clockwise,C358693
"L1, L2",0603,2,4.7nH,C1030
"L10, L13, L14, L9",L_Ferrocore_DLG-0403,4,1mH,C492286
"L11, L12, L7, L8",0603,4,1uH,C2839970
"L1_1_10_5B1, L1_1_10_5B2, L5_1_10_5B1, L5_1_10_5B2",0603,4,11.59uH,C275362
L1_HA1,0603,1,33uH,C5339211
"L1_HP1, L2_HP1",0603,2,10uH,C90215
"L1_HP2, L2_HP2",0805,2,7.5uH,C5137241
"L1_LP1, L2_LP1",0805,2,10uH,C1046
L1_VARB1,0805,1,L 10uH,C285963
"L2_1_10_5B1, L2_1_10_5B2, L4_1_10_5B1, L4_1_10_5B2",0603,4,1.431uH,C87514
"L3, L4, L5, L6",0603,4,1nH,C41902
"L3_1_10_5B1, L3_1_10_5B2",0603,2,3.581uH,C393983
POW1_VARB1,SOT-23-5,1,LM27313XMF,C181744
"PV1_PR1, PV1_PRH1",LED_2-SMD_Gull_Wing_4.4x3.85mm,2,BPW_34_S-Z,C67891
Q1_CCV1,TO-252-3_L6.5-W5.9-P4.60-LS10.0-BL,1,MOT13003D,C5143121
"Q1_FET1, Q1_FET2",SOT-363_SC-70-6,2,BSD235C,C99824
Q2_CCV1,SOT-23-3,1,SS8050,C2150
R1,0402,1,1M,C2906900
"R10, R11, R12, R9",DFN-6_L1.1-W0.7-P0.40-BL,4,FM8625H,C2857391
"R13, R14",0402,2,41.2,C270602
R15,0402,1,10,C25077
R16,0402,1,48.7,C270597
R17,0402,1,1,C25086
R18,0402,1,48.7,C270602
"R19, R21",0402,2,43,C11563
R1_CCV1,0805,1,3.3k,C441983
"R1_LA1, R2_LA1, R5, R6",0402,4,1k,C140196
"R1_PR1, R1_PRH1",0402,2,13.7k,C25854
"R1_SI5351AB1, R1_TD1, R1_TDV1, R2_SI5351AB1, R2_TD1, R2_TDV1, R3_TD1, R4, R4_TD1, R7",0402,10,10K,C60490
"R1_SS1, R2_SS1",0402,2,3.3k,C25890
R1_VARB1,0402,1,R 100k 1%,C60491
"R2, R3",0402,2,27,C25100
"R20, R23",RES-ADJ-SMD_3313J-1,2,50,C124624
"R22, R24",0402,2,200,C25087
"R25, R29",0402,2,62,C274896
"R26, R30",0402,2,51,C25125
R27,0402,1,249,C208840
R28,0402,1,2.49k,C25884
"R2_PR1, R2_PRH1",0402,2,280,C321421
R2_VARB1,0402,1,R 4.53k 1%,C3015988
"R31, R32",0805,2,51Ω,C17738
R3_PRH1,0402,1,10M,
"R3_TDV1, R4_TDV1, VR1_LA1, VR2_LA1",RES-ADJ-SMD_3313J-1,4,500k,C124628
RP_USB1,USB_Micro-B_XKB_U254-051T-4BH83-F1S,1,USB_B_Micro,C319160
RV1_VARB1,Potentiometer_Bourns_3314J_Vertical,1,100k R_Potentiometer,C128545
SPK1,BUZ-SMD_4P-L13.0-W13.0-P11.4-BL,1,GSPK1304S-8R0.5W,C2847318
"SW1_SS1, SW1_SS2, SW1_SS3, SW2_SS1",SW-SMD_4P-L6.2-W6.2-P4.50-LS8.6,4,K2-1157SP-I4SW-04,C2909692
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
"U1_DM1, U1_DM2, U1_TD1, U1_TDV1",TSSOP-16_4.4x5mm_P0.65mm,4,SN74CBT3253,C2674672
U1_HA1,SOT-89-3,1,GVA-63,C3193270
"U1_LA1, U2_TD1, U2_TDV1",SOIC-8_3.9x4.9mm_P1.27mm,3,LM4562,C57367
"U1_MIC1, U1_MIC2",MIC-SMD_4P-L2.8-W1.9-P1.84-TL_ZTS6117,2,ZTS6117H,C2999748
"U1_PR1, U1_PRH1",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,2,OPA320AIDBVR,C92494
U1_SI5351AB1,MSOP-10_3x3mm_P0.5mm,1,Si5351A-B-GT,C504891
U3,SOT-666,1,USBLC6-2P6,C2827693
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
"U46, U73, U80",DFN-6_L3.0-W3.0-P0.95-BL-EP-PE4140B-Z,3,PE4140B-Z,C5336176
U5,SOT-23-5,1,AP2112K-3.3,C51118
"U71, U75, U76",FILTER-SMD_ETC4-1-2TR,3,ETC1.6-4-2-3TR,C3304930
VR1_CCV1,RES-ADJ-TH_3362P-1-104LF,1,3362P-1-101LF,C81265
"VR1_PR1, VR1_PRH1",RES-ADJ-SMD_3313J-1,2,2M,C124623
"X1, X2, X3",XFMR-SMD_6P-L7.9-W5.6-P2.54-LS7.0-BL,3,ADT1-1+,C2683432
X1_SI5351AB1,OSC-SMD_4P-L3.2-W2.5-BL,1,27MHz,C479208
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
