Designator,Mid X,Mid Y,Rotation,Layer
C1,158.512174,-83.354654,270.0,top
C10,214.236976,-188.661029,180.0,top
C10(P49)1,153.129341,-96.38916,270.0,bottom
C10_TD1,131.544,-135.128,180.0,top
C10_TDV1,133.604,-162.588,270.0,top
C11,213.868,-204.752,90.0,top
C11(P43n44)1,154.701271,-96.871552,0.0,bottom
C11_TD1,131.6,-137.668,180.0,top
C11_TDV1,133.604,-166.144,270.0,top
C12,184.645,-206.756,180.0,top
C12(P33)1,156.099483,-99.726088,90.0,bottom
C12_TD1,129.54,-127.536,270.0,top
C12_TDV1,129.54,-154.968,270.0,top
C13,162.532,-117.856,0.0,top
C13(P23)1,155.086491,-104.4377,315.0,top
C14,162.532,-119.38,0.0,top
C14(P45)1,156.686665,-94.383775,0.0,top
C15,162.532,-132.08,0.0,top
C15(P50)1,151.089206,-88.57268,135.0,top
C16,162.532,-133.604,0.0,top
C17,162.532,-146.304,0.0,top
C18,162.532,-147.828,0.0,top
C19,162.532,-160.528,0.0,top
C1_1_10_5B1,181.115,-84.582,270.0,top
C1_1_10_5B2,181.343,-90.932,270.0,top
C1_TD1,138.204,-131.064,180.0,top
C1_TDV1,138.204,-158.496,180.0,top
C2,161.32136,-89.653873,270.0,top
C20,162.532,-162.052,0.0,top
C21,162.532,-122.936,0.0,top
C22,162.532,-124.46,0.0,top
C23,162.532,-137.16,0.0,top
C24,162.532,-138.684,0.0,top
C25,162.532,-151.384,0.0,top
C26,162.532,-152.908,0.0,top
C27,162.532,-165.608,0.0,top
C28,162.532,-167.132,0.0,top
C2_1_10_5B1,184.925,-83.82,0.0,top
C2_1_10_5B2,184.404,-90.932,270.0,top
C2_TD1,134.62,-124.488,90.0,top
C2_TDV1,134.62,-151.92,90.0,top
C3,158.263153,-106.955777,315.0,top
C3_1_10_5B1,190.259,-84.569,270.0,top
C3_1_10_5B2,187.452,-90.919,270.0,top
C3_TD1,138.684,-126.492,180.0,top
C3_TDV1,138.684,-153.924,180.0,top
C4,161.598939,-109.161549,90.0,top
C4_1_10_5B1,194.056,-83.82,0.0,top
C4_1_10_5B2,190.5,-90.932,270.0,top
C4_TD1,136.395007,-126.209315,270.0,top
C4_TDV1,136.395007,-153.641315,270.0,top
C5,141.422061,-87.310397,225.0,top
C5_1_10_5B1,199.403,-84.569,270.0,top
C5_1_10_5B2,193.548,-90.919,270.0,top
C6,154.597626,-110.470019,0.0,top
C6(P10)1,152.034308,-99.829796,90.0,bottom
C7,157.276831,-108.192976,270.0,top
C7(P1)1,151.685218,-97.923238,225.0,bottom
C7_TD1,144.272,-131.036,90.0,top
C7_TDV1,144.272,-158.468,90.0,top
C8,201.536976,-188.661029,180.0,top
C8(P22)1,154.670968,-101.027464,0.0,bottom
C8_TD1,149.832,-122.428,180.0,top
C8_TDV1,149.832,-149.86,180.0,top
C9,199.644,-204.752,90.0,top
C9(P42)1,156.731243,-97.710964,315.0,bottom
C9_TD1,146.276,-131.064,0.0,top
C9_TDV1,146.276,-158.496,0.0,top
FB1,183.8495,-139.192,0.0,top
FB10,200.1055,-152.4,0.0,top
FB12,182.3255,-159.004,0.0,top
FB13,182.3255,-164.084,0.0,top
FB14,182.3255,-169.164,0.0,top
FB15,182.3255,-174.244,0.0,top
FB2,183.8495,-141.732,0.0,top
FB3,183.8495,-144.272,0.0,top
FB4,183.8495,-146.812,0.0,top
FB5,183.8495,-149.352,0.0,top
FB6,200.1055,-156.464,0.0,top
FB7,200.1055,-137.16,0.0,top
FB8,200.1055,-142.24,0.0,top
FB9,200.1055,-147.32,0.0,top
J1,163.765323,-83.39391,0.0,top
J10,150.876,-118.364,0.0,top
J11,150.876,-145.796,0.0,top
J12,127.043999,-174.752,90.0,top
J13,127.043999,-186.436,90.0,top
J14,133.355,-101.097,0.0,top
J15,150.876,-130.815,0.0,top
J16,150.876,-158.247,0.0,top
J17,168.397,-104.652999,180.0,top
J18,160.772,-197.104,90.0,top
J1_3S1,199.659,-180.848,270.0,top
J1_3S2,212.359,-180.848,270.0,top
J1_3S3,136.144,-174.752,0.0,top
J1_3S4,136.144,-186.436,0.0,top
J2,139.873475,-81.510483,270.0,top
J3,215.392,-169.159,0.0,top
J4,187.96,-144.267,0.0,top
J5,202.692,-169.159,0.0,top
J6,178.567,-113.02,0.0,top
J7,187.203,-113.02,0.0,top
J8,195.839,-113.02,0.0,top
J9,204.475,-113.02,0.0,top
L1,170.18,-212.115501,270.0,top
L10,151.283,-181.864,0.0,top
L11,212.1115,-91.44,0.0,top
L12,212.1115,-93.472,0.0,top
L13,167.031,-175.26,0.0,top
L14,167.031,-181.864,0.0,top
L1_1_10_5B1,182.639,-84.582,270.0,top
L1_1_10_5B2,182.867,-90.932,270.0,top
L2,170.18,-203.936499,90.0,top
L2_1_10_5B1,187.973,-83.82,0.0,top
L2_1_10_5B2,185.928,-90.932,90.0,top
L3,207.5435,-129.032,0.0,top
L3_1_10_5B1,191.783,-84.563669,270.0,top
L3_1_10_5B2,188.976,-90.932,270.0,top
L4,207.5435,-131.064,0.0,top
L4_1_10_5B1,197.0915,-83.82,0.0,top
L4_1_10_5B2,192.024,-90.932,90.0,top
L5,207.5435,-123.952,0.0,top
L5_1_10_5B1,200.927,-84.582,270.0,top
L5_1_10_5B2,195.072,-90.932,270.0,top
L6,207.5435,-125.984,0.0,top
L7,212.1115,-86.36,0.0,top
L8,212.1115,-88.392,0.0,top
L9,151.283,-175.26,0.0,top
R1,157.327362,-80.606118,270.0,top
R10,197.978,-205.232,270.0,top
R11,212.202,-205.232,270.0,top
R12,212.344,-189.306,270.0,top
R13,180.34,-123.444,0.0,top
R14,183.39,-123.444,0.0,top
R15,181.864,-123.950001,90.0,top
